Model Series,Model Name,Developer,URI,Parameters (10E+9),FLOPs (10E+23),OpenRouter Input Cost,OpenRouter Output Cost,MMLU-Pro
Jamba 1.6,Mini,AI21,OpenRouter/ai21/jamba-1.6-mini,52,,0.2,0.4,0.37
Jamba 1.6,Large,AI21,OpenRouter/ai21/jamba-1.6-large,398,,2,8,0.56
Qwen 2.5 Instruct,0.5B,Alibaba,SelfHosted/Qwen/Qwen2.5-0.5B-Instruct,0.5,,,,0.15
Qwen 2.5 Instruct,1.5B,Alibaba,SelfHosted/Qwen/Qwen2.5-1.5B-Instruct,1.5,1.6632,,,0.32
Qwen 2.5 Instruct,3B,Alibaba,SelfHosted/Qwen/Qwen2.5-3B-Instruct,3,3.3372,,,0.44
Qwen 2.5 Instruct,7B,Alibaba,OpenRouter/qwen/qwen-2.5-7b-instruct,7,8.2188,0.3,0.3,0.45
Qwen 2.5 Instruct,14B,Alibaba,SelfHosted/Qwen/Qwen2.5-14B-Instruct,14,15.876,,,0.64
Qwen 2.5 Instruct,32B,Alibaba,OpenRouter/qwen/qwen2.5-32b-instruct,32,35.1,0.79,0.79,0.7
Qwen 2.5 Instruct,72B,Alibaba,OpenRouter/qwen/qwen-2.5-72b-instruct,72,78,0.7,0.7,0.72
Claude 3,Haiku,Anthropic,OpenRouter/anthropic/claude-3-haiku,,,0.25,1.25,
Claude 3,Sonnet,Anthropic,OpenRouter/anthropic/claude-3-sonnet,,,3,15,0.58
Claude 3,Opus,Anthropic,OpenRouter/anthropic/claude-3-opus,,164.0001,15,75,0.7
Claude 3.5,Sonnet,Anthropic,OpenRouter/anthropic/claude-3.5-sonnet,,365.0001,0.8,4,0.77
Claude 3.7,Sonnet,Anthropic,OpenRouter/anthropic/claude-3.7-sonnet,,335,3,15,0.8
Command,R7B,Cohere,OpenRouter/cohere/command-r7b-12-2024,7,,0.0375,0.15,0.29
Command,R,Cohere,OpenRouter/cohere/command-r,35,,0.15,0.6,0.34
Command,R+,Cohere,OpenRouter/cohere/command-r-plus,104,,3,15,0.43
